,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0,,,,start_chat
1,229,23,22,"Well, the appearances are generally noted on the stenographic record.",side_chat,MR. HOOVER,start_question
2,234,24,2,"I'm happy to introduce myself, sir.  As I mentioned when I first met you outside, my name is Mark Hoover.",q,MR. HOOVER,start_answer
3,237,24,5,Right.,a,THE WITNESS,start_question
4,238,24,6,"I represent one of the defendants in this matter.  Just for the record, before we get started, would you state your full name?",q,MR. HOOVER,start_answer
5,241,24,9,David C. Morton.,a,THE WITNESS,start_question
6,242,24,10,"Mr. Morton, have you ever been deposed before?",q,MR. HOOVER,start_answer
7,244,24,12,Have I been to what?,a,THE WITNESS,start_question
8,245,24,13,Deposed.  Have you ever been asked a series of questions by a bunch of lawyers in a room before?,q,MR. HOOVER,start_answer
9,248,24,16,Yes.,a,THE WITNESS,start_question
10,249,24,17,Okay.  How many times have you been deposed?,q,MR. HOOVER,start_answer
11,251,24,19,Once.,a,THE WITNESS,start_question
12,252,24,20,And under what circumstances?  Why were you deposed?,q,MR. HOOVER,start_answer
13,254,24,22,"It was an automobile accident, 1989.",a,THE WITNESS,start_question
14,255,24,23,"Okay.  Were you suing somebody, or were you being sued?",q,MR. HOOVER,start_answer
15,258,25,1,No.  We were suing someone.,a,THE WITNESS,start_question
16,259,25,2,Okay.  And it was a result of a personal injury from an automobile accident?,q,MR. HOOVER,start_answer
17,261,25,4,Exactly.,a,THE WITNESS,start_question
18,262,25,5,"Okay.  Other than that one deposition, any other depositions?",q,MR. HOOVER,start_answer
19,264,25,7,No.,a,THE WITNESS,start_question
20,265,25,8,"Okay.  So what I'm going to do is I'm going to go over just some general kind of ground rules for today.  I'm going to be asking you the majority of the questions today.  As we go along, if there's a question that I ask that you don't understand or it doesn't seem clear, just let me know, and I'll rephrase it.  Okay?",q,MR. HOOVER,start_answer
21,272,25,15,Yup.,a,THE WITNESS,start_question
22,273,25,16,"Otherwise, I'm going to assume that you understood my question fully when you answered it. Fair enough?",q,MR. HOOVER,start_answer
23,276,25,19,Yes.,a,THE WITNESS,start_question
24,277,25,20,"Okay.  All of your answers, responses to my questions, have to be verbal.  You and I will understand shrugs of the shoulder and nods of the head, but that doesn't come down in the recorded portion here that's being taken down by the stenographer.  Okay?",q,MR. HOOVER,start_answer
25,284,26,2,Correct.  Okay.,a,THE WITNESS,start_question
26,285,26,3,"Okay.  And then the other thing, too, is sometimes you might know where I'm going with my question and might start to answer it before I finish.  It's just normal human conversation, but if you could just wait for me to finish my question, I'll wait for you to finish your answer, and that way, again, it comes down clearer in the record. Okay?",q,MR. HOOVER,start_answer
27,293,26,11,Correct.,a,THE WITNESS,start_question
28,294,26,12,Okay.,q,MR. HOOVER,start_answer
29,295,26,13,Okay.,a,THE WITNESS,start_question
30,296,26,14,"Also, if you need a break, sir, at any time, for any reason, stretch, restroom, glass of water, a cup of coffee, just let me know, and we can take a break.  Okay?",q,MR. HOOVER,start_answer
31,300,26,18,All right.,a,THE WITNESS,start_question
32,301,26,19,"All right.  The only thing on that is I would ask, if there's a question pending, we answer that one last question and then take our break. Okay?",q,MR. HOOVER,start_answer
33,305,26,23,Yeah.,a,THE WITNESS,start_question
34,306,26,24,"All right.  And we got your name as David Morton, and what's your date of birth, sir?",q,MR. HOOVER,start_answer
35,309,27,2,12/23/1940.,a,THE WITNESS,start_question
36,310,27,3,And that makes you how old today?,q,MR. HOOVER,start_answer
37,311,27,4,Seventy-six.,a,THE WITNESS,start_question
